pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
OGLE-TR-111|b|4.01610000|||5040.00|0.83|0.85||163.324625|-61.405639|11.781|0.639|-0.583|||174.79900|31.78200|-31.78200||||||1
OGLE-TR-113|b|1.43247520|||4790.00|0.77|0.78||163.101667|-61.446806|12.251|0.314|-0.213|||400.44900|50.85100|-50.85100|||600.00|||1
OGLE-TR-132|b|1.68986800|||6210.00|1.32|1.30||162.644667|-61.957194|13.450|1.680|-1.230|4.760000|167.000|375.02000|44.49000|-41.32000|0.09320|0.5600|2500.00|250.00|-250.00|1
OGLE-TR-211|b|3.67724000|2453428.334000|0.1838000|6325.00|1.64|1.33|13.767|160.059951|-62.455601|15.244|2.018|-1.009|||327.35100|63.56300|-63.56300||||||1
Oph 11|b|730000.00000000||||||14.472|245.605058|-24.087208||||||6674.15000|953.45000|-953.45000||||||0
Pr0211|b|2.14510000|||5326.00|0.87|0.95|10.660|130.547882|19.277044|||||299.900|||||||||0
PSR B1257+12|b|25.26200000|||||||195.014903|12.682353||||||0.02000|0.00200|-0.00200|||600.00|100.00|-100.00|0
PSR B1257+12|c|66.54190000|||||||195.014903|12.682353||||||4.30000|0.20000|-0.20000|||600.00|100.00|-100.00|0
PSR B1620-26|b||||||||245.909262|-26.531594||||||794.57500|317.83000|-317.83000||||||0
PSR J1719-1438|b|0.09070629|||4500.00|0.04|1.40||259.791971|-14.633600||||||382.80000|||||1200.00|300.00|-300.00|0
Qatar-1|b|1.42002406|2455518.411170|0.0683333||0.78|0.80|10.999|303.381672|65.162041|12.733|0.415|-0.247|6.319000||405.23325|25.10857|-13.66669|0.14591|0.6300||||1
ROXs 42 B|b||||||1.00|9.906|247.812567|-24.545471||||||2860.00000|953.00000|-953.00000|||135.00|||0
