pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-191|c|17.73850600|2454981.988620|0.1175000|5282.00|0.79|0.85|13.420|291.183386|45.323177|1.860|0.920|-0.920|||||||0.1400||||1
Kepler-192|b|9.92674600|2455008.685010|0.1575000|5479.00|1.01||12.892|287.917924|45.592876|2.740|0.450|-0.450|||||||0.3800||||1
Kepler-192|c|21.22340000|2455003.374600|0.2058000|5479.00|1.01||12.892|287.917924|45.592876|2.790|0.520|-0.520|||||||0.8200||||1
Kepler-193|c|50.69749400|2454974.322880|0.2548000|6335.00|1.15||13.539|296.498596|46.577244|2.750|1.240|-1.240|||||||0.0600||||1
Kepler-194|b|2.09228100|2454966.059640|0.0980000|6089.00|1.02||13.780|291.971445|47.864174|1.510|0.790|-0.790|||||||0.1300||||1
Kepler-194|c|17.30803200|2455009.941690|0.2067000|6089.00|1.02||13.780|291.971445|47.864174|2.590|1.360|-1.360|||||||0.0800||||1
Kepler-195|b|8.30787200|2455004.171200|0.1313000|5329.00|0.78||13.531|288.120962|47.966667|2.030|0.740|-0.740|||||||0.0500||||1
Kepler-195|c|34.09686300|2454986.817120|0.1627000|5329.00|0.78||13.531|288.120962|47.966667|1.550|0.570|-0.570|||||||0.2900||||1
Kepler-196|b|20.73988600|2455006.218170|0.1256000|5128.00|0.78||12.752|284.968519|42.079205|1.900|0.150|-0.150|||||||0.2900||||1
Kepler-197|b|5.59930800|2455004.472820|0.1534000|6004.00|1.12||10.814|295.226435|50.559006|1.020|0.040|-0.040|||||||0.2200||||1
Kepler-197|c|10.34969500|2455007.064210|0.1771000|6004.00|1.12||10.814|295.226435|50.559006|1.230|0.040|-0.040|||||||0.2200||||1
Kepler-197|d|15.67756300|2455012.468860|0.2219000|6004.00|1.12||10.814|295.226435|50.559006|1.220|0.100|-0.100|||||||0.6600||||1
Kepler-197|e|25.20971500|2454987.413420|0.2624000|6004.00|1.12||10.814|295.226435|50.559006|0.910|0.040|-0.040|||||||0.1400||||1
Kepler-198|c|49.56741600|2455002.540010|0.1528000|5574.00|0.94|0.93|12.421|290.673130|38.691011|2.470|0.370|-0.370|||||||0.4000||||1
Kepler-199|b|23.63760400|2455005.648460|0.2064000|5644.00|0.97||12.449|295.559419|40.236271|3.110|0.560|-0.560|||||||0.1500||||1
Kepler-199|c|67.09340800|2454979.565770|0.2888000|5644.00|0.97||12.449|295.559419|40.236271|3.250|0.580|-0.580|||||||0.1300||||1
Kepler-200|c|10.22215700|2454968.890560|0.0463000|5678.00|0.94||12.871|284.409920|41.237465|1.590|0.290|-0.290|||||||0.7400||||1
Kepler-201|b|25.67208300|2455025.097050|0.2345000|6065.00|1.23|1.17|12.037|293.626040|41.272827|2.460|0.480|-0.480|||||||0.3800||||1
Kepler-201|c|151.88405800|2455009.418160|0.5412000|6065.00|1.23|1.17|12.037|293.626040|41.272827|2.850|0.600|-0.600|||||||0.9200||||1
Kepler-203|b|3.16269700|2455002.641580|0.0792000|5821.00|1.11|0.98|12.859|297.089977|41.388039|2.570|0.520|-0.520|||||||0.5200||||1
Kepler-203|c|5.37064700|2455005.236970|0.0839000|5821.00|1.11|0.98|12.859|297.089977|41.388039|2.470|0.470|-0.470|||||||0.1000||||1
Kepler-203|d|11.32972000|2454966.968820|0.1663000|5821.00|1.11|0.98|12.859|297.089977|41.388039|1.440|0.280|-0.280|||||||0.3400||||1
Kepler-204|c|25.66059300|2454988.151650|0.1826000|5812.00|1.24|0.96|12.846|285.347187|41.761925|1.790|0.390|-0.390|||||||0.6200||||1
Kepler-205|b|2.75564000|2455003.844540|0.0812000|4321.00|0.55||11.608|285.287111|41.861172|1.510|0.140|-0.140|||||||0.8700||||1
Kepler-205|c|20.30654600|2455005.656200|0.1197000|4321.00|0.55||11.608|285.287111|41.861172|1.640|0.120|-0.120|||||||0.8100||||1
